Query Term,Normalized Query Term,Tweet ID
asshоle,asshole,252566633325948928
asshоle,asshole,252561958941896704
asshоle,asshole,252502689492123648
asshоle,asshole,252403842635952128
asshоle,asshole,252332182654312449
asshоle,asshole,252188149940363265
asshоle,asshole,252104423076151296
asshоle,asshole,252099340741529600
asshоle,asshole,252060957403131904
asshоle,asshole,252045990129958913
asshоle,asshole,252034345886433280
asshоle,asshole,252026893514182656
asshоle,asshole,252026153706061824
asshоle,asshole,251871332525015040
asshоle,asshole,251801708483710976
asshоle,asshole,251776708343123969
asshоle,asshole,251637740607782912
asshоle,asshole,251598663275659264
asshоle,asshole,251596915169443840
asshоle,asshole,251568846794801152
asshоle,asshole,251568788464623616
asshоle,asshole,251459255444574210
asshоle,asshole,251436232456941569
asshоle,asshole,251429108544856064
asshоle,asshole,251381332532420608
asshоle,asshole,251306093005926400
asshоle,asshole,251284655645544448
asshоle,asshole,251200208438972416
asshоle,asshole,251174230585139201
asshоle,asshole,251139900022333441
asshоle,asshole,251027502372364288
asshоle,asshole,251010893738016768
asshоle,asshole,245041200854364161
asshоle,asshole,245033469556703232
asshоle,asshole,244953044301799424
asshоle,asshole,240760536344690688
asshоle,asshole,240292682075865088
asshоle,asshole,240222127112982528
asshоle,asshole,240121440513441793
asshоle,asshole,239946538917457921
asshоle,asshole,239945495487848449
asshоle,asshole,239890939403976705
asshоle,asshole,239865141661929472
asshоle,asshole,239838641168465920
asshоle,asshole,238837199020384258
asshоle,asshole,238709198563721216
asshоle,asshole,238614047732416512
asshоle,asshole,237705111193923584
asshоle,asshole,8274947625
assholЕ,asshole,1590581706444402688
assholЕ,asshole,1590217361772011520
assholЕ,asshole,1584681906083631104
assholЕ,asshole,1583842901305401344
assholЕ,asshole,1575860092129484800
assholЕ,asshole,1569768463241035781
assholЕ,asshole,1566149712020791296
assholЕ,asshole,1564882340023009281
assholЕ,asshole,1562272024571125760
assholЕ,asshole,1557896945221369861
assholЕ,asshole,1550703659385856000
assholЕ,asshole,1548656730682576896
assholЕ,asshole,1546173012193452033
assholЕ,asshole,1545195119673999361
assholЕ,asshole,1541855449993154560
assholЕ,asshole,1541121068173246464
assholЕ,asshole,1536855905861509121
assholЕ,asshole,1536011324131528706
assholЕ,asshole,1535307697012236289
assholЕ,asshole,1535305766072197123
assholЕ,asshole,1535253041649266688
assholЕ,asshole,1522976893754093568
assholЕ,asshole,1494491723396878336
assholЕ,asshole,1457737843812433923
assholЕ,asshole,1455063955907522562
assholЕ,asshole,1415627626975277066
assholЕ,asshole,1327108236508585995
assholЕ,asshole,1322283984248664064
assholЕ,asshole,1320000886999896070
assholЕ,asshole,1319747412982976518
assholЕ,asshole,1319002769584521216
assholЕ,asshole,1318464851870732288
assholЕ,asshole,1318135312648896513
assholЕ,asshole,1317903755791290374
assholЕ,asshole,1309159078145536000
assholЕ,asshole,1270831952275398660
assholЕ,asshole,1233476770659229697
